std,n_points,dimension,setup1,construct1,reduce1,setup2,construct2,reduce2,update,nnz_old_U,nnz_reb_U,nnz_upd_U,nnz_old_R,nnz_reb_R,nnz_upd_R
0.005,20,2,5.405396223068237e-05,0.00016236305236816406,0.0005887188017368317,5.128048360347748e-05,0.00015883706510066986,0.0005656611174345016,0.00036182813346385956,5084,4941,4942,458,454,455
0.005,20,2,5.3843483328819275e-05,0.00016832351684570312,0.0005846675485372543,5.083344876766205e-05,0.0001610182225704193,0.0005670040845870972,0.00035978667438030243,5084,4941,4942,458,454,455
0.005,20,2,0.00011867471039295197,0.00016388297080993652,0.0005829259753227234,5.1608309149742126e-05,0.00016500428318977356,0.0005629844963550568,0.0003595799207687378,5084,4941,4942,458,454,455
0.005,20,2,5.43985515832901e-05,0.00016298331320285797,0.0005842559039592743,5.178898572921753e-05,0.00015974976122379303,0.0005612354725599289,0.0003652963787317276,5084,4941,4942,458,454,455
0.005,20,2,4.9540773034095764e-05,0.00016143359243869781,0.0005957018584012985,5.170702934265137e-05,0.0001596100628376007,0.0005617663264274597,0.0003628768026828766,5084,4941,4942,458,454,455
0.005,20,2,5.282089114189148e-05,0.0001620277762413025,0.0005896929651498795,5.150400102138519e-05,0.00015935860574245453,0.0005656629800796509,0.0003581494092941284,5084,4941,4942,458,454,455
0.005,20,2,5.3456053137779236e-05,0.00016326457262039185,0.0005895998328924179,5.1993876695632935e-05,0.00016020797193050385,0.0005676615983247757,0.0003587566316127777,5084,4941,4942,458,454,455
0.005,20,2,5.330890417098999e-05,0.00016791746020317078,0.0005841273814439774,5.227327346801758e-05,0.0001593995839357376,0.0005701277405023575,0.0003583114594221115,5084,4941,4942,458,454,455
0.005,20,2,5.3456053137779236e-05,0.00016306713223457336,0.000586753711104393,5.077198147773743e-05,0.00016599521040916443,0.0005607679486274719,0.00036188773810863495,5084,4941,4942,458,454,455
0.005,20,2,5.298294126987457e-05,0.00016375258564949036,0.0005926340818405151,5.186162889003754e-05,0.00016035698354244232,0.0005602408200502396,0.0003659389913082123,5084,4941,4942,458,454,455
0.005,20,2,5.345046520233154e-05,0.00016203708946704865,0.0005889572203159332,5.1995739340782166e-05,0.00015911459922790527,0.0005662981420755386,0.00035954825580120087,5084,4941,4942,458,454,455
0.005,20,2,5.344860255718231e-05,0.00016310252249240875,0.0005925241857767105,5.087442696094513e-05,0.00015843473374843597,0.0005664732307195663,0.00035871751606464386,5084,4941,4942,458,454,455
